"PLACEKEY","PARENT_PLACEKEY","LOCATION_NAME","SAFEGRAPH_BRAND_IDS","BRANDS","STORE_ID","TOP_CATEGORY","SUB_CATEGORY","NAICS_CODE","LATITUDE","LONGITUDE","STREET_ADDRESS","CITY","REGION","POSTAL_CODE","ISO_COUNTRY_CODE","PHONE_NUMBER","OPEN_HOURS","CATEGORY_TAGS","OPENED_ON","CLOSED_ON","TRACKING_CLOSED_SINCE","GEOMETRY_TYPE","DOMAINS","WEBSITE"
"222-222@3x6-4mz-rp9","","Columbia Elementary","","","","Elementary and Secondary Schools","Elementary and Secondary Schools",611110.0,49.485884,-119.55687,"1437 Allison St","Penticton","BC","V2A 3X5","CA",12507707676.0,"","","","","2019-07","POLYGON","""[\\""sd67.bc.ca\\""]""",""
"222-222@3x6-4n2-3dv","","Peach City IT Services","","","","Waste Management and Remediation Services","",562.0,49.49353,-119.587566,"695 Van Horne St","Penticton","BC","V2A 4L2","CA",12504624700.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07","POLYGON","""[\\""peachcityit.com\\""]""","http://www.peachcityit.com"
"222-222@3x6-rwq-9zz","","Western Durastill","","","","Restaurants and Other Eating Places","Snack and Nonalcoholic Beverage Bars",722515.0,53.561318,-113.9258,"80 Deer Park Blvd","Spruce Grove","AB","T7X 3K2","CA",17809600688.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3x6-ry8-47q","","iCare Pharmacy","","","","Health and Personal Care Stores","Pharmacies and Drug Stores",446110.0,53.428899,-113.591017,"U 101-3514 Allan Dr SW","Edmonton","AB","T6W 3G9","CA",17807058871.0,"{ ""Mon"": [[""9:00"", ""17:00""]], ""Tue"": [[""9:00"", ""17:00""]], ""Wed"": [[""9:00"", ""17:00""]], ""Thu"": [[""9:00"", ""17:00""]], ""Fri"": [[""9:00"", ""17:00""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07","POLYGON","""[\\""icarepharmacy.ca\\""]""","https://www.icarepharmacy.ca"
"222-222@3x6-s3b-w8v","","Albatross Roofing","","","","Building Finishing Contractors","",2383.0,53.405305,-113.801002,"11-51221 Range Road 265","Spruce Grove","AB","T7Y 1E7","CA",15879884645.0,"{ ""Mon"": [[""6:00"", ""23:00""]], ""Tue"": [[""6:00"", ""23:00""]], ""Wed"": [[""6:00"", ""23:00""]], ""Thu"": [[""6:00"", ""23:00""]], ""Fri"": [[""6:00"", ""23:00""]], ""Sat"": [[""6:00"", ""23:00""]], ""Sun"": [[""6:00"", ""23:00""]] }","Roofing","","","2019-07","POLYGON","""[\\""roofingalbatross.ca\\""]""",""
"222-222@3x6-sfm-w49","","24 7 WebTech","","","","Electronic and Precision Equipment Repair and Maintenance","Consumer Electronics Repair and Maintenance",811211.0,53.565679,-113.567469,"14304 115 Ave NW","Edmonton","AB","T5M 3B7","CA",17803282413.0,"","IT Services","","","2019-07","POLYGON","""[]""",""
"222-222@3x6-shc-w8v","","mdo OPTICIANS","","","","Offices of Other Health Practitioners","Offices of Optometrists",621320.0,53.620876,-113.61091,"255-140 St Albert Trail","St. Albert","AB","T8N 7C8","CA",17804594944.0,"{ ""Mon"": [[""10:00"", ""18:00""]], ""Tue"": [[""10:00"", ""18:00""]], ""Wed"": [[""10:00"", ""18:00""]], ""Thu"": [[""10:00"", ""19:00""]], ""Fri"": [[""10:00"", ""18:00""]], ""Sat"": [[""10:00"", ""16:00""]], ""Sun"": [] }","","","","2019-07","POLYGON","""[\\""mdoopticians.com\\""]""","https://mdoopticians.com"
"222-222@3x9-byq-3nq","zzw-222@3x9-byq-435","A 1 Canadian Pizza","","","","Restaurants and Other Eating Places","Full-Service Restaurants",722511.0,51.271586,-114.018008,"2002 Luxstone Blvd SW","Airdrie","AB","T4B 3K8","CA",14039481048.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3x9-c78-p9z","","Foothill Tiles 1985","","","","Building Finishing Contractors","",2383.0,51.169077,-114.135255,"3507 Sage Hill Dr NW","Calgary","AB","T3R 1J1","CA",14032952184.0,"","Contractors,Flooring","","2022-11","2019-07","POLYGON","""[]""",""
"222-222@3x9-cch-dvz","","ActiveConversion","","","","Advertising, Public Relations, and Related Services","",5418.0,51.069603,-113.999445,"2891 Sunridge Way NE","Calgary","AB","T1Y 7K7","CA","","{ ""Mon"": [[""9:00"", ""18:00""]], ""Tue"": [[""9:00"", ""18:00""]], ""Wed"": [[""9:00"", ""18:00""]], ""Thu"": [[""9:00"", ""18:00""]], ""Fri"": [[""9:00"", ""18:00""]], ""Sat"": [], ""Sun"": [] }","Marketing,Web Design","","","2019-07","POLYGON","""[\\""activeconversion.com\\""]""",""
"222-222@3x9-ccs-tsq","","Recreation Displays","","","","Machinery, Equipment, and Supplies Merchant Wholesalers","",4238.0,51.101297,-114.073652,"539 Thorneycroft Dr NW","Calgary","AB","T2K 3K3","CA",14032741747.0,"","","","","2019-07","POLYGON","""[]""",""
"222-222@3x9-dgs-kcq","","Trophy Loft","","","","Management, Scientific, and Technical Consulting Services","",5416.0,52.300158,-113.810017,"1-7429 49 Ave","Red Deer","AB","T4P 1N2","CA",14033475030.0,"{ ""Mon"": [[""9:00"", ""17:30""]], ""Tue"": [[""9:00"", ""17:30""]], ""Wed"": [[""9:00"", ""17:30""]], ""Thu"": [[""9:00"", ""17:30""]], ""Fri"": [[""9:00"", ""17:30""]], ""Sat"": [], ""Sun"": [] }","","","","2019-07","POLYGON","""[\\""trophyloft.com\\""]""","http://www.trophyloft.com"
"222-222@3x9-dhc-8gk","","Golf Central Alberta","","","","Other Amusement and Recreation Industries","Golf Courses and Country Clubs",713910.0,52.254725,-113.767927,"23 Mclevin Cres","Red Deer","AB","T4R 1S8","CA",14033479759.0,"","Golf","","","2019-07","POLYGON","""[\\""golfcentralalberta.com\\""]""",""
